LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,PWM Board,,,TOTAL,
,,,,,,4/15/19 (19099^0),,,=SUM(J5:J100),
,,,,,,,,,,
1,,=1/3,BOARD,OSHPARK,,PCB 2 LAYER ENIG 3 COPY,(),23.25,=C5*I5,PWM
,,,,,,,,,,
,,,,,,NOTES,,,,

